Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0115","Barley","2015","2015","kg/ha","1429.1","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0115","Barley","2016","2016","kg/ha","1377","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0115","Barley","2017","2017","kg/ha","1393.3","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0115","Barley","2018","2018","kg/ha","674.8","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0115","Barley","2019","2019","kg/ha","1469.9","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0115","Barley","2020","2020","kg/ha","1483.8","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0115","Barley","2021","2021","kg/ha","1616.5","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0115","Barley","2022","2022","kg/ha","1528.4","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0115","Barley","2023","2023","kg/ha","1374.3","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0115","Barley","2024","2024","kg/ha","1428.6","X","Figure from external organization",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0112","Maize (corn)","2015","2015","kg/ha","2145.7","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0112","Maize (corn)","2016","2016","kg/ha","2051.7","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0112","Maize (corn)","2017","2017","kg/ha","1295.7","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0112","Maize (corn)","2018","2018","kg/ha","1472.7","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0112","Maize (corn)","2019","2019","kg/ha","1945.7","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0112","Maize (corn)","2020","2020","kg/ha","1934.4","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0112","Maize (corn)","2021","2021","kg/ha","1900.4","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0112","Maize (corn)","2022","2022","kg/ha","2237.4","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0112","Maize (corn)","2023","2023","kg/ha","2858.3","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0112","Maize (corn)","2024","2024","kg/ha","1925.9","X","Figure from external organization",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0113","Rice","2015","2015","kg/ha","3731.7","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0113","Rice","2016","2016","kg/ha","4472.3","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0113","Rice","2017","2017","kg/ha","4614.8","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0113","Rice","2018","2018","kg/ha","4470.9","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0113","Rice","2019","2019","kg/ha","4476.6","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0113","Rice","2020","2020","kg/ha","4441.7","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0113","Rice","2021","2021","kg/ha","4406.5","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0113","Rice","2022","2022","kg/ha","4625","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0113","Rice","2023","2023","kg/ha","4627.9","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0113","Rice","2024","2024","kg/ha","5061.9","E","Estimated value",""
